,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
6303,1365,2005,48,6.928203230275509,"coat, polym",24.0,4.898979485566356,1.1642741880699847
6305,1365,2005,13,3.605551275463989,"coat, polym",3.0,1.7320508075688772,-0.37681676044895396
6312,1379,2005,10,3.1622776601683795,"coat, polym",0.0,0.0,2.502754732509286
6313,1379,2005,13,3.605551275463989,"coat, polym",11.0,3.3166247903554,2.5038702340729797
6325,1393,2005,10,3.1622776601683795,"coat, polym",1.0,1.0,5.520392720589505
6327,1400,2005,29,5.385164807134504,"coat, polym",0.0,0.0,2.3329430141833924
6328,1407,2005,16,4.0,"coat, polym",0.0,0.0,1.421785437196461
6331,1407,2005,2,1.4142135623730951,"coat, polym",1.0,1.0,4.823746438287562
6332,1407,2005,23,4.795831523312719,"coat, polym",2.0,1.4142135623730951,2.899017060139737
6334,1414,2005,2,1.4142135623730951,"coat, polym",3.0,1.7320508075688772,2.4532530272574626
6335,1414,2005,12,3.4641016151377544,"coat, polym",5.0,2.23606797749979,-1.006052936955688
6338,1414,2005,18,4.242640687119285,"coat, polym",2.0,1.4142135623730951,-2.0637944022461383
6343,1421,2005,14,3.7416573867739413,"coat, polym",0.0,0.0,-0.4600858371565452
6345,1428,2005,4,2.0,"coat, polym",2.0,1.4142135623730951,2.988345746241546
6346,1428,2005,17,4.123105625617661,"coat, polym",0.0,0.0,-3.5262312095250086
6348,1435,2005,13,3.605551275463989,"coat, polym",0.0,0.0,-3.4957590173673476
6349,1435,2005,25,5.0,"coat, polym",6.0,2.449489742783178,0.7306633169674754
6350,1435,2005,27,5.196152422706632,"coat, polym",1.0,1.0,3.165641657662189
6351,1442,2005,38,6.164414002968976,"coat, polym",4.0,2.0,1.2270816921502168
6352,1442,2005,26,5.0990195135927845,"coat, polym",0.0,0.0,3.042483948859114
6360,1463,2005,38,6.164414002968976,"coat, polym",0.0,0.0,1.826101391654812
6363,1470,2005,17,4.123105625617661,"coat, polym",4.0,2.0,1.4909085627788268
6368,1484,2005,12,3.4641016151377544,"coat, polym",9.0,3.0,3.4145323125161164
6374,1491,2005,3,1.7320508075688772,"coat, polym",0.0,0.0,1.5747609531856654
6375,1491,2005,20,4.47213595499958,"coat, polym",10.0,3.1622776601683795,0.9671529440936951
6376,1491,2005,27,5.196152422706632,"coat, polym",2.0,1.4142135623730951,2.1162995437125485
6379,1498,2005,18,4.242640687119285,"coat, polym",6.0,2.449489742783178,3.1724823111251124
6381,1505,2005,9,3.0,"coat, polym",0.0,0.0,2.9831853604620293
6383,1505,2005,36,6.0,"coat, polym",5.0,2.23606797749979,5.613867271828384
6384,1505,2005,5,2.23606797749979,"coat, polym",3.0,1.7320508075688772,-2.2196614360173674
6385,1505,2005,23,4.795831523312719,"coat, polym",1.0,1.0,2.0987306003747026
6386,1512,2005,12,3.4641016151377544,"coat, polym",2.0,1.4142135623730951,-1.6013103945400913
6389,1519,2005,20,4.47213595499958,"coat, polym",3.0,1.7320508075688772,2.3370719689649313
6390,1526,2005,29,5.385164807134504,"coat, polym",3.0,1.7320508075688772,1.9288107018464282
6391,1526,2005,22,4.69041575982343,"coat, polym",4.0,2.0,-1.340898036468952
6396,1540,2005,5,2.23606797749979,"coat, polym",2.0,1.4142135623730951,-2.7504711095836893
6398,1554,2005,15,3.872983346207417,"coat, polym",4.0,2.0,1.3092511599505476
6399,1561,2005,57,7.54983443527075,"coat, polym",17.0,4.123105625617661,-1.269606106850374
6404,1575,2005,19,4.358898943540674,"coat, polym",2.0,1.4142135623730951,1.4911479657883098
6405,1575,2005,23,4.795831523312719,"coat, polym",0.0,0.0,1.446128916384963
6406,1575,2005,14,3.7416573867739413,"coat, polym",4.0,2.0,1.0517115937056642
6413,1603,2005,12,3.4641016151377544,"coat, polym",32.0,5.656854249492381,2.9195599761483364
6418,1610,2006,8,2.8284271247461903,"coat, polym",3.0,1.7320508075688772,-6.930401997837019
6420,1617,2006,21,4.58257569495584,"coat, polym",5.0,2.23606797749979,4.278946613025265
6425,1638,2006,60,7.745966692414834,"coat, polym",5.0,2.23606797749979,1.1992095813111145
6426,1638,2006,6,2.449489742783178,"coat, polym",0.0,0.0,-4.193893925237768
